sympy,natural_language
"ForAll(c, Equivalent(h(u) == x, W(v, u)))","For all c, h(u) equals x if and only if W of v and u."
"ForAll(c, Equivalent((W(w)) & (P(u)), Implies(k(w) == u, k(y, v) == u)))","For all c, W of w and P of u if and only if If k(w) equals u, then k(y, v) equals u."
"Exists(v, Implies((Implies(g(x, c) == y, h(x) == u)) | (Equivalent(g(a) == b, k(w, z) == v)), Equivalent(~(h(b, z) == w), Implies(Q(x), g(v) == b))))","There exists an v such that If If g(x, c) equals y, then h(x) equals u or g(a) equals b if and only if k(w, z) equals v, then not (h(b, z) equals w) if and only if If Q of x, then g(v) equals b."
"ForAll(z, ForAll(b, ((V(w, z, x)) & (S(w, x, u))) & ((h(u, y) == z) | (S(a, z, w)))))","For all z, For all b, V of w and z and x and S of w and x and u and h(u, y) equals z or S of a and z and w."
"Exists(b, Implies((Implies(U(c, w, b), m(z, c) == v)) & (~(f(y, w) == b)), (~(P(w, v, b))) | (~(k(v, b) == u))))","There exists an b such that If If U of c and w and b, then m(z, c) equals v and not (f(y, w) equals b), then not (P of w and v and b) or not (k(v, b) equals u)."
"ForAll(u, ~(Equivalent(f(v, b) == u, m(x) == w)))","For all u, not (f(v, b) equals u if and only if m(x) equals w)."
"ForAll(a, ~(Q(y, u)))","For all a, not (Q of y and u)."
"Exists(c, m(c) == y)",There exists an c such that m(c) equals y.
"Exists(c, (((Q(w, z)) | (T(a, w))) & (Equivalent(P(y, c), k(u, v) == v))) & (((g(y, v) == u) & (g(a, c) == v)) | (Implies(P(y, x, v), k(x) == c))))","There exists an c such that Q of w and z or T of a and w and P of y and c if and only if k(u, v) equals v and g(y, v) equals u and g(a, c) equals v or If P of y and x and v, then k(x) equals c."
"Exists(c, Exists(x, Equivalent((k(c, v) == b) & (g(b, w) == w), (R(y)) | (m(c, y) == z))))","There exists an c such that There exists an x such that k(c, v) equals b and g(b, w) equals w if and only if R of y or m(c, y) equals z."
"ForAll(w, ((f(u, a) == b) & (m(y) == z)) & ((k(y) == u) | (U(x, c))))","For all w, f(u, a) equals b and m(y) equals z and k(y) equals u or U of x and c."
~((m(u) == w) | (m(b) == x)),not (m(u) equals w or m(b) equals x).
"Exists(w, ForAll(x, ~((~(Q(x, u, a))) & (Implies(h(w) == w, V(x, c, w))))))","There exists an w such that For all x, not (not (Q of x and u and a) and If h(w) equals w, then V of x and c and w)."
"Exists(c, S(b, u))",There exists an c such that S of b and u.
"ForAll(b, ((~(f(w) == c)) | (Equivalent(S(x, c), m(a, y) == w))) & (~(Equivalent(k(b) == z, f(a) == v))))","For all b, not (f(w) equals c) or S of x and c if and only if m(a, y) equals w and not (k(b) equals z if and only if f(a) equals v)."
"ForAll(a, (~((k(x, w) == u) & (Q(a, v, z)))) | (Implies((Q(b)) & (g(c, v) == a), (S(c)) & (W(u)))))","For all a, not (k(x, w) equals u and Q of a and v and z) or If Q of b and g(c, v) equals a, then S of c and W of u."
"ForAll(a, Equivalent(T(v, b), S(w, u, x)))","For all a, T of v and b if and only if S of w and u and x."
"Exists(z, ((Equivalent(R(z, v, b), h(w, y) == u)) & (~(f(v, u) == x))) | (((f(v) == u) | (g(b, w) == c)) & (Equivalent(k(x, v) == y, P(y, w, c)))))","There exists an z such that R of z and v and b if and only if h(w, y) equals u and not (f(v, u) equals x) or f(v) equals u or g(b, w) equals c and k(x, v) equals y if and only if P of y and w and c."
"ForAll(v, ((Q(z, u)) | (P(w, b, u))) & (~(f(x) == b)))","For all v, Q of z and u or P of w and b and u and not (f(x) equals b)."
"Exists(v, (Equivalent(W(v), R(z, v, b))) | (~(g(v, a) == u)))","There exists an v such that W of v if and only if R of z and v and b or not (g(v, a) equals u)."
"Exists(y, (S(z, a)) | (P(x)))",There exists an y such that S of z and a or P of x.
"((~(k(x) == z)) | (~(g(a, z) == y))) & (Equivalent((U(b)) | (m(x, c) == y), ~(W(u))))","not (k(x) equals z) or not (g(a, z) equals y) and U of b or m(x, c) equals y if and only if not (W of u)."
"Exists(x, g(y) == y)",There exists an x such that g(y) equals y.
"ForAll(z, Implies(((P(v)) & (h(y, b) == y)) | ((T(v, u)) | (f(u) == v)), Equivalent(~(f(w) == z), (f(x) == v) | (k(a) == x))))","For all z, If P of v and h(y, b) equals y or T of v and u or f(u) equals v, then not (f(w) equals z) if and only if f(x) equals v or k(a) equals x."
"ForAll(x, (Equivalent((m(z) == v) & (m(y, a) == x), ~(Q(z, a)))) & (((h(c, a) == c) & (W(a))) | (Implies(h(v, x) == c, m(y) == x))))","For all x, m(z) equals v and m(y, a) equals x if and only if not (Q of z and a) and h(c, a) equals c and W of a or If h(v, x) equals c, then m(y) equals x."
"ForAll(y, ((Implies(R(u, w), T(c, a))) & ((R(y, u, v)) | (h(a, z) == z))) & (((g(w) == w) & (P(x))) & (~(g(a, b) == u))))","For all y, If R of u and w, then T of c and a and R of y and u and v or h(a, z) equals z and g(w) equals w and P of x and not (g(a, b) equals u)."
"Exists(x, ~(Equivalent(Q(a, z, c), W(u))))",There exists an x such that not (Q of a and z and c if and only if W of u).
"Exists(c, ~(Implies(Implies(V(b, v, u), P(x)), (Q(y, u)) & (f(c) == y))))","There exists an c such that not (If If V of b and v and u, then P of x, then Q of y and u and f(c) equals y)."
"ForAll(b, Implies(g(u) == v, S(w, u)))","For all b, If g(u) equals v, then S of w and u."
"ForAll(x, ForAll(a, Implies((h(a, c) == b) | (P(c)), Equivalent(Q(c), S(c)))))","For all x, For all a, If h(a, c) equals b or P of c, then Q of c if and only if S of c."
"Exists(y, ForAll(c, (~(h(b) == u)) & ((T(z, u)) | (k(x) == v))))","There exists an y such that For all c, not (h(b) equals u) and T of z and u or k(x) equals v."
"Exists(y, f(w) == w)",There exists an y such that f(w) equals w.
"Exists(x, R(u, x))",There exists an x such that R of u and x.
S(c),S of c.
"ForAll(w, ForAll(a, R(u)))","For all w, For all a, R of u."
"ForAll(b, T(c))","For all b, T of c."
"ForAll(z, Equivalent(((h(x, v) == z) & (k(v) == a)) & (Equivalent(g(w) == b, k(v) == u)), Implies((U(y)) & (R(a, b)), Implies(k(a, z) == z, W(a, b, v)))))","For all z, h(x, v) equals z and k(v) equals a and g(w) equals b if and only if k(v) equals u if and only if If U of y and R of a and b, then If k(a, z) equals z, then W of a and b and v."
"Exists(c, ForAll(c, P(x, a)))","There exists an c such that For all c, P of x and a."
"Exists(c, Implies((~(h(v) == x)) & ((m(y) == z) | (k(w, z) == w)), ((h(y) == y) | (Q(c, z, u))) & (~(g(u, w) == v))))","There exists an c such that If not (h(v) equals x) and m(y) equals z or k(w, z) equals w, then h(y) equals y or Q of c and z and u and not (g(u, w) equals v)."
"ForAll(w, ForAll(y, k(x, w) == y))","For all w, For all y, k(x, w) equals y."
"(Equivalent(R(u, x, b), f(c, a) == x)) | (~(f(u) == z))","R of u and x and b if and only if f(c, a) equals x or not (f(u) equals z)."
"ForAll(c, ForAll(a, ((Equivalent(Q(v), S(v))) & (Implies(W(y), m(x, y) == a))) & (Equivalent((k(w, x) == y) | (U(u, w)), (R(c, b)) | (R(b, x))))))","For all c, For all a, Q of v if and only if S of v and If W of y, then m(x, y) equals a and k(w, x) equals y or U of u and w if and only if R of c and b or R of b and x."
"ForAll(c, g(u) == a)","For all c, g(u) equals a."
"Exists(w, (W(a)) & (R(v)))",There exists an w such that W of a and R of v.
"ForAll(b, (Equivalent(~(h(z) == u), Equivalent(V(x), m(c, w) == b))) | (~(Implies(f(y, u) == w, P(y, a)))))","For all b, not (h(z) equals u) if and only if V of x if and only if m(c, w) equals b or not (If f(y, u) equals w, then P of y and a)."
"Exists(u, Exists(z, U(x)))",There exists an u such that There exists an z such that U of x.
"R(v, c, b)",R of v and c and b.
"ForAll(z, Exists(u, Q(a, y)))","For all z, There exists an u such that Q of a and y."
"Exists(u, f(b, w) == c)","There exists an u such that f(b, w) equals c."
"ForAll(b, Implies(g(c, y) == y, f(v) == b))","For all b, If g(c, y) equals y, then f(v) equals b."
"Exists(b, Implies(~(Equivalent(h(z) == c, k(y, z) == u)), (Implies(g(x, b) == z, f(v) == v)) & (Equivalent(k(z, x) == w, f(b) == u))))","There exists an b such that If not (h(z) equals c if and only if k(y, z) equals u), then If g(x, b) equals z, then f(v) equals v and k(z, x) equals w if and only if f(b) equals u."
"ForAll(v, Equivalent(Q(b), h(c) == x))","For all v, Q of b if and only if h(c) equals x."
"Exists(b, Implies((f(z) == w) & (m(z, b) == z), (h(x) == b) | (W(y))))","There exists an b such that If f(z) equals w and m(z, b) equals z, then h(x) equals b or W of y."
"ForAll(z, ForAll(b, ((~(m(x, a) == x)) | (Equivalent(m(z) == x, g(x, w) == x))) | (Equivalent(Equivalent(m(a, v) == x, U(a, b, x)), (k(w, v) == z) | (P(u, v, y))))))","For all z, For all b, not (m(x, a) equals x) or m(z) equals x if and only if g(x, w) equals x or m(a, v) equals x if and only if U of a and b and x if and only if k(w, v) equals z or P of u and v and y."
R(b),R of b.
"ForAll(v, h(a, y) == b)","For all v, h(a, y) equals b."
"ForAll(z, (f(v, a) == c) & (R(y, a)))","For all z, f(v, a) equals c and R of y and a."
"Exists(v, Exists(z, V(c, x, b)))",There exists an v such that There exists an z such that V of c and x and b.
"Implies(~(Implies(W(x, u), S(b, x))), Implies(Equivalent(m(u) == z, g(v, a) == u), (k(u, x) == c) | (V(w, v, x))))","If not (If W of x and u, then S of b and x), then If m(u) equals z if and only if g(v, a) equals u, then k(u, x) equals c or V of w and v and x."
"ForAll(v, (W(z)) | (g(z) == y))","For all v, W of z or g(z) equals y."
"ForAll(z, ~(((k(z, b) == z) & (g(v, w) == x)) | ((h(a) == b) & (f(x) == c))))","For all z, not (k(z, b) equals z and g(v, w) equals x or h(a) equals b and f(x) equals c)."
"ForAll(u, h(x) == v)","For all u, h(x) equals v."
(g(u) == z) & (U(y)),g(u) equals z and U of y.
"ForAll(y, ((f(u) == w) | (f(a) == c)) & ((R(v)) & (R(a, z))))","For all y, f(u) equals w or f(a) equals c and R of v and R of a and z."
"Exists(a, (h(z) == x) | (m(w, z) == x))","There exists an a such that h(z) equals x or m(w, z) equals x."
"Exists(y, ~(h(v, z) == y))","There exists an y such that not (h(v, z) equals y)."
"ForAll(a, (m(z) == z) | (f(y) == b))","For all a, m(z) equals z or f(y) equals b."
"Exists(y, Implies((h(y, z) == x) | (S(x, c)), (h(v) == x) | (Q(y, w, b))))","There exists an y such that If h(y, z) equals x or S of x and c, then h(v) equals x or Q of y and w and b."
"ForAll(v, ((Q(v, u, w)) | (W(b, c, w))) | ((T(z, c)) & (S(v, w, b))))","For all v, Q of v and u and w or W of b and c and w or T of z and c and S of v and w and b."
"Exists(u, Implies((Implies(S(z), h(w) == x)) | (Equivalent(k(x, w) == c, R(w, a, c))), (Equivalent(k(z, c) == w, U(w, y, a))) | (Equivalent(R(w), R(w)))))","There exists an u such that If If S of z, then h(w) equals x or k(x, w) equals c if and only if R of w and a and c, then k(z, c) equals w if and only if U of w and y and a or R of w if and only if R of w."
"Exists(x, (Equivalent(R(u), f(z, x) == x)) & ((f(a) == a) | (h(w) == a)))","There exists an x such that R of u if and only if f(z, x) equals x and f(a) equals a or h(w) equals a."
"Exists(u, Q(x, y, v))",There exists an u such that Q of x and y and v.
"ForAll(c, ForAll(a, ~(k(y) == u)))","For all c, For all a, not (k(y) equals u)."
"ForAll(c, (V(v, a)) | (V(x, b, u)))","For all c, V of v and a or V of x and b and u."
"ForAll(x, ForAll(a, ~((R(u, v)) | (f(a, z) == u))))","For all x, For all a, not (R of u and v or f(a, z) equals u)."
"ForAll(x, Implies(~(h(u) == y), (f(b) == z) | (k(b, a) == x)))","For all x, If not (h(u) equals y), then f(b) equals z or k(b, a) equals x."
"Exists(v, Implies((h(y, b) == x) & (m(z) == v), Equivalent(m(b) == v, f(z, u) == v)))","There exists an v such that If h(y, b) equals x and m(z) equals v, then m(b) equals v if and only if f(z, u) equals v."
"Exists(b, Equivalent((Equivalent(m(u, a) == z, W(z, u))) | (Implies(f(x) == w, h(v, z) == y)), Implies(Equivalent(S(b), V(x, v)), Equivalent(f(u, b) == c, g(x, a) == a))))","There exists an b such that m(u, a) equals z if and only if W of z and u or If f(x) equals w, then h(v, z) equals y if and only if If S of b if and only if V of x and v, then f(u, b) equals c if and only if g(x, a) equals a."
"ForAll(y, (g(c, y) == w) | (U(c, x, b)))","For all y, g(c, y) equals w or U of c and x and b."
h(b) == c,h(b) equals c.
"ForAll(x, Equivalent(f(x, u) == u, k(u) == x))","For all x, f(x, u) equals u if and only if k(u) equals x."
"ForAll(c, (Implies(Equivalent(R(a), k(y, x) == c), Implies(m(a) == b, g(z, b) == a))) & ((Equivalent(m(z) == y, V(y, a))) | (~(g(x) == y))))","For all c, If R of a if and only if k(y, x) equals c, then If m(a) equals b, then g(z, b) equals a and m(z) equals y if and only if V of y and a or not (g(x) equals y)."
"Exists(u, Q(c, z))",There exists an u such that Q of c and z.
"ForAll(w, (f(v, c) == z) & (g(u) == c))","For all w, f(v, c) equals z and g(u) equals c."
"ForAll(a, (Implies(T(w), k(a) == z)) & (Equivalent(g(w) == v, g(u, x) == z)))","For all a, If T of w, then k(a) equals z and g(w) equals v if and only if g(u, x) equals z."
"ForAll(z, ForAll(a, Equivalent(((P(y, a)) & (m(c) == y)) & ((f(b) == x) & (h(b) == x)), (Implies(R(a, z), V(c, z, w))) & (Equivalent(f(b) == z, W(v, y, x))))))","For all z, For all a, P of y and a and m(c) equals y and f(b) equals x and h(b) equals x if and only if If R of a and z, then V of c and z and w and f(b) equals z if and only if W of v and y and x."
"Exists(b, (~(Implies(S(y), f(a) == u))) & (Equivalent(Implies(g(w, b) == x, T(z)), Equivalent(g(x, y) == z, h(x) == z))))","There exists an b such that not (If S of y, then f(a) equals u) and If g(w, b) equals x, then T of z if and only if g(x, y) equals z if and only if h(x) equals z."
"S(a, w)",S of a and w.
"Exists(b, ~((h(c) == b) & (f(a) == v)))",There exists an b such that not (h(c) equals b and f(a) equals v).
"ForAll(w, Implies(k(z, u) == z, f(a, b) == c))","For all w, If k(z, u) equals z, then f(a, b) equals c."
"ForAll(u, Exists(z, ((P(v)) | (V(z, c, u))) | (~(k(b) == a))))","For all u, There exists an z such that P of v or V of z and c and u or not (k(b) equals a)."
"((m(b, c) == z) & (f(y, u) == v)) & ((m(y) == w) & (Q(z, c, u)))","m(b, c) equals z and f(y, u) equals v and m(y) equals w and Q of z and c and u."
"ForAll(x, ForAll(v, h(b) == a))","For all x, For all v, h(b) equals a."
"Exists(a, ForAll(b, Implies((Q(x, u)) & (h(c) == b), (h(v, z) == z) | (R(x, z)))))","There exists an a such that For all b, If Q of x and u and h(c) equals b, then h(v, z) equals z or R of x and z."
"ForAll(y, m(z, x) == w)","For all y, m(z, x) equals w."
"(((m(a, y) == c) | (k(v) == x)) & (Equivalent(k(y, z) == w, S(b, w, a)))) & (~((g(y) == b) | (V(y))))","m(a, y) equals c or k(v) equals x and k(y, z) equals w if and only if S of b and w and a and not (g(y) equals b or V of y)."
"Exists(w, ForAll(b, ((S(c, b, y)) | (P(u, v))) & (Implies(h(v, x) == v, f(c, a) == z))))","There exists an w such that For all b, S of c and b and y or P of u and v and If h(v, x) equals v, then f(c, a) equals z."
"P(c, w)",P of c and w.
"ForAll(y, (U(y, v, z)) & (g(x, y) == c))","For all y, U of y and v and z and g(x, y) equals c."
"Implies(Implies(m(w, u) == y, W(b, x, c)), ~(T(w)))","If If m(w, u) equals y, then W of b and x and c, then not (T of w)."
"Exists(y, Equivalent((R(z, y, a)) | (S(a, c, b)), (U(c)) | (h(b) == c)))",There exists an y such that R of z and y and a or S of a and c and b if and only if U of c or h(b) equals c.
"ForAll(y, ForAll(z, ((Implies(S(w, a, y), S(b))) | (Implies(P(a, b, x), f(x) == y))) | (~(Implies(V(y, c), m(c, w) == c)))))","For all y, For all z, If S of w and a and y, then S of b or If P of a and b and x, then f(x) equals y or not (If V of y and c, then m(c, w) equals c)."
"Exists(z, Exists(a, ~(Equivalent(Implies(P(w), W(x, b, u)), Implies(h(x, z) == u, f(a, y) == w)))))","There exists an z such that There exists an a such that not (If P of w, then W of x and b and u if and only if If h(x, z) equals u, then f(a, y) equals w)."
"Implies(Equivalent(Equivalent(f(u, x) == z, T(x, z, b)), (f(a) == c) & (P(a, u))), Implies((P(z, y)) | (h(c) == y), (P(u)) & (U(z))))","If f(u, x) equals z if and only if T of x and z and b if and only if f(a) equals c and P of a and u, then If P of z and y or h(c) equals y, then P of u and U of z."
"Exists(v, Exists(w, (h(w, u) == y) | (f(c) == a)))","There exists an v such that There exists an w such that h(w, u) equals y or f(c) equals a."
"ForAll(w, Equivalent((U(v)) & (h(u, y) == y), (h(c, u) == v) & (k(z, c) == w)))","For all w, U of v and h(u, y) equals y if and only if h(c, u) equals v and k(z, c) equals w."
"Exists(x, Implies(((R(v, a)) | (P(v, b))) & ((f(u) == w) & (m(x, y) == w)), ((W(y, w)) | (f(c, b) == x)) & ((f(u) == w) | (m(x, a) == v))))","There exists an x such that If R of v and a or P of v and b and f(u) equals w and m(x, y) equals w, then W of y and w or f(c, b) equals x and f(u) equals w or m(x, a) equals v."
"ForAll(w, Equivalent(~(V(a, v, c)), Implies(U(a, y), U(b))))","For all w, not (V of a and v and c) if and only if If U of a and y, then U of b."
"~((Implies(k(c) == v, Q(z, c, x))) & (Implies(S(z), g(u) == a)))","not (If k(c) equals v, then Q of z and c and x and If S of z, then g(u) equals a)."
"ForAll(z, Implies(W(a, z), g(b, u) == z))","For all z, If W of a and z, then g(b, u) equals z."
"Implies(Q(v, x, b), m(u) == z)","If Q of v and x and b, then m(u) equals z."
"(~(P(b, w, a))) & ((T(w, z)) | (f(w, a) == y))","not (P of b and w and a) and T of w and z or f(w, a) equals y."
"ForAll(w, Equivalent(((V(z)) | (W(b, c))) & (Implies(P(a, c), k(b) == x)), ((m(z, v) == z) & (P(b, v, w))) | (~(h(a) == b))))","For all w, V of z or W of b and c and If P of a and c, then k(b) equals x if and only if m(z, v) equals z and P of b and v and w or not (h(a) equals b)."
g(x) == u,g(x) equals u.
"(Equivalent(h(y, v) == b, m(u, y) == c)) | (Implies(m(v) == c, U(w, x, a)))","h(y, v) equals b if and only if m(u, y) equals c or If m(v) equals c, then U of w and x and a."
"Exists(a, ForAll(v, (Equivalent((S(v, a, x)) & (R(c)), (T(c, w)) | (P(x, y)))) & (Equivalent(Equivalent(S(c), k(z, c) == w), (f(z) == u) & (f(c, v) == y)))))","There exists an a such that For all v, S of v and a and x and R of c if and only if T of c and w or P of x and y and S of c if and only if k(z, c) equals w if and only if f(z) equals u and f(c, v) equals y."
"((k(w) == c) & (m(a, u) == c)) | (Equivalent(g(a) == y, R(a, y, u)))","k(w) equals c and m(a, u) equals c or g(a) equals y if and only if R of a and y and u."
"ForAll(c, Exists(z, Implies((Equivalent(h(b, a) == w, k(y, z) == v)) & (Implies(V(c), h(c, z) == v)), ((f(z) == v) | (f(v, x) == z)) & ((f(w) == b) | (P(u, a))))))","For all c, There exists an z such that If h(b, a) equals w if and only if k(y, z) equals v and If V of c, then h(c, z) equals v, then f(z) equals v or f(v, x) equals z and f(w) equals b or P of u and a."
"Exists(b, ~(~(Equivalent(S(x, v, w), T(x)))))",There exists an b such that not (not (S of x and v and w if and only if T of x)).
"Exists(x, ~(((f(w) == a) | (U(x, b))) | ((k(c, x) == w) & (T(x, w, v)))))","There exists an x such that not (f(w) equals a or U of x and b or k(c, x) equals w and T of x and w and v)."
"Exists(z, (h(x) == u) & (m(w) == c))",There exists an z such that h(x) equals u and m(w) equals c.
"Exists(b, W(b))",There exists an b such that W of b.
"Exists(z, Equivalent(Implies(T(y, a, w), m(u) == x), Implies(m(y, a) == z, V(x))))","There exists an z such that If T of y and a and w, then m(u) equals x if and only if If m(y, a) equals z, then V of x."
"Exists(a, (((W(u)) & (V(z, u))) | (Equivalent(R(v, z), h(v, a) == c))) & (Implies(Equivalent(W(y), m(z) == z), Implies(V(w), m(x, v) == b))))","There exists an a such that W of u and V of z and u or R of v and z if and only if h(v, a) equals c and If W of y if and only if m(z) equals z, then If V of w, then m(x, v) equals b."
"ForAll(a, Equivalent(Equivalent(Implies(S(b, y), m(w) == b), (g(c, u) == c) & (k(c) == x)), ((f(y) == x) & (Q(z, a, b))) | ((W(x)) | (k(y) == x))))","For all a, If S of b and y, then m(w) equals b if and only if g(c, u) equals c and k(c) equals x if and only if f(y) equals x and Q of z and a and b or W of x or k(y) equals x."
"Exists(x, (h(x, u) == w) | (k(b, a) == c))","There exists an x such that h(x, u) equals w or k(b, a) equals c."
"Exists(v, ForAll(u, (Implies((U(w)) & (f(b, x) == w), (T(v, c, x)) & (h(y) == y))) & (Equivalent(Equivalent(S(w), V(c)), ~(m(x) == b)))))","There exists an v such that For all u, If U of w and f(b, x) equals w, then T of v and c and x and h(y) equals y and S of w if and only if V of c if and only if not (m(x) equals b)."
"ForAll(y, ForAll(x, Equivalent(Implies(k(x, u) == a, f(a) == u), (m(y) == w) & (k(z) == b))))","For all y, For all x, If k(x, u) equals a, then f(a) equals u if and only if m(y) equals w and k(z) equals b."
"ForAll(b, Implies(Implies(g(u) == z, U(y, w)), Implies(k(b) == u, k(v, a) == z)))","For all b, If If g(u) equals z, then U of y and w, then If k(b) equals u, then k(v, a) equals z."
"ForAll(z, Equivalent(Equivalent(Q(b, x), f(z) == y), Equivalent(T(y, u, a), h(a, x) == v)))","For all z, Q of b and x if and only if f(z) equals y if and only if T of y and u and a if and only if h(a, x) equals v."
"Exists(x, ForAll(v, Implies(Implies(Equivalent(R(a), f(z, y) == c), (f(a, c) == a) | (U(a))), Implies(Equivalent(R(z), P(y, u)), (W(w, x)) | (W(y, w))))))","There exists an x such that For all v, If If R of a if and only if f(z, y) equals c, then f(a, c) equals a or U of a, then If R of z if and only if P of y and u, then W of w and x or W of y and w."
"ForAll(a, (f(v, a) == w) | (g(x, y) == c))","For all a, f(v, a) equals w or g(x, y) equals c."
"Exists(v, ~(k(w, z) == z))","There exists an v such that not (k(w, z) equals z)."
m(x) == u,m(x) equals u.
"ForAll(u, (h(u) == v) & (m(b, z) == z))","For all u, h(u) equals v and m(b, z) equals z."
"ForAll(z, h(a, y) == w)","For all z, h(a, y) equals w."
"Exists(a, ~((m(w, u) == y) | (P(w, v))))","There exists an a such that not (m(w, u) equals y or P of w and v)."
U(c),U of c.
"ForAll(v, g(v) == u)","For all v, g(v) equals u."
"Exists(b, Equivalent(g(x) == b, f(a) == c))",There exists an b such that g(x) equals b if and only if f(a) equals c.
"ForAll(w, m(z) == a)","For all w, m(z) equals a."
"Equivalent(Equivalent(P(x, z), R(c)), Equivalent(f(z, c) == v, R(x, a)))","P of x and z if and only if R of c if and only if f(z, c) equals v if and only if R of x and a."
"ForAll(w, Exists(x, ~((Q(a)) | (g(c) == z))))","For all w, There exists an x such that not (Q of a or g(c) equals z)."
(R(x)) & (k(x) == y),R of x and k(x) equals y.
"ForAll(u, (g(y) == u) & (R(c, a)))","For all u, g(y) equals u and R of c and a."
"ForAll(w, (Implies(h(u) == v, h(b, a) == x)) | (Implies(k(v) == z, g(b, c) == u)))","For all w, If h(u) equals v, then h(b, a) equals x or If k(v) equals z, then g(b, c) equals u."
"Exists(z, (~(Implies(k(w, y) == v, g(u, x) == a))) | (~(Implies(g(a) == w, k(a, c) == w))))","There exists an z such that not (If k(w, y) equals v, then g(u, x) equals a) or not (If g(a) equals w, then k(a, c) equals w)."
"ForAll(v, (Equivalent(V(b, z, c), W(y, z))) & (Equivalent(g(w) == v, k(c, a) == u)))","For all v, V of b and z and c if and only if W of y and z and g(w) equals v if and only if k(c, a) equals u."
"Exists(z, ForAll(y, (((Q(w, u)) | (V(c))) & ((S(x)) | (g(z, a) == x))) | (Equivalent(Implies(k(c) == z, m(y) == z), Implies(T(b, a, y), h(z) == a)))))","There exists an z such that For all y, Q of w and u or V of c and S of x or g(z, a) equals x or If k(c) equals z, then m(y) equals z if and only if If T of b and a and y, then h(z) equals a."
"ForAll(u, ~(Equivalent(m(y) == z, h(y, a) == b)))","For all u, not (m(y) equals z if and only if h(y, a) equals b)."
"Exists(b, ForAll(b, Implies(~(Q(z, w)), (V(u)) | (m(y) == u))))","There exists an b such that For all b, If not (Q of z and w), then V of u or m(y) equals u."
"(m(v) == x) | (P(y, a, u))",m(v) equals x or P of y and a and u.
"ForAll(y, (~(f(y, x) == x)) & ((R(c)) & (k(a) == c)))","For all y, not (f(y, x) equals x) and R of c and k(a) equals c."
"ForAll(b, Equivalent(h(z, x) == u, V(x)))","For all b, h(z, x) equals u if and only if V of x."
"ForAll(y, V(x, y, z))","For all y, V of x and y and z."
"Exists(b, ForAll(u, ~(Equivalent(Implies(T(x, z, b), f(c) == c), ~(W(v, w, y))))))","There exists an b such that For all u, not (If T of x and z and b, then f(c) equals c if and only if not (W of v and w and y))."
"ForAll(w, ForAll(u, Implies(Equivalent(g(u) == c, W(v, y, w)), ~(g(z) == y))))","For all w, For all u, If g(u) equals c if and only if W of v and y and w, then not (g(z) equals y)."
"Exists(v, ForAll(z, Implies(m(z, a) == y, h(z, w) == z)))","There exists an v such that For all z, If m(z, a) equals y, then h(z, w) equals z."
"(~(Implies(m(a, c) == v, U(y)))) | ((Implies(g(w, v) == z, f(z, a) == a)) & (Implies(V(x, b), P(y, v, a))))","not (If m(a, c) equals v, then U of y) or If g(w, v) equals z, then f(z, a) equals a and If V of x and b, then P of y and v and a."
"ForAll(c, ((Equivalent(P(c, b), P(a))) | ((T(y, b, c)) | (W(a)))) & ((~(g(u) == z)) & (Implies(P(c, v), h(c) == u))))","For all c, P of c and b if and only if P of a or T of y and b and c or W of a and not (g(u) equals z) and If P of c and v, then h(c) equals u."
"((Q(y, u)) | (f(u, w) == b)) | (Equivalent(V(v), U(b, x, v)))","Q of y and u or f(u, w) equals b or V of v if and only if U of b and x and v."
"Exists(u, T(y))",There exists an u such that T of y.
"~((Q(v, c, u)) | (k(z, x) == z))","not (Q of v and c and u or k(z, x) equals z)."
"ForAll(w, ForAll(a, Implies(m(u) == b, S(b))))","For all w, For all a, If m(u) equals b, then S of b."
"Exists(v, Equivalent(Equivalent(h(x, v) == z, m(x, v) == w), ~(P(a, w, u))))","There exists an v such that h(x, v) equals z if and only if m(x, v) equals w if and only if not (P of a and w and u)."
"ForAll(a, Equivalent(~(h(b) == a), (m(v) == c) | (S(x, v))))","For all a, not (h(b) equals a) if and only if m(v) equals c or S of x and v."
"ForAll(a, Equivalent((g(x, v) == z) & (R(u, v)), Implies(f(z, v) == y, g(y, w) == c)))","For all a, g(x, v) equals z and R of u and v if and only if If f(z, v) equals y, then g(y, w) equals c."
"Exists(w, Implies(f(v) == z, f(u) == u))","There exists an w such that If f(v) equals z, then f(u) equals u."
"Exists(z, (R(c, a)) | (T(x)))",There exists an z such that R of c and a or T of x.
"ForAll(x, g(b) == v)","For all x, g(b) equals v."
"ForAll(w, ~((U(u)) & (V(u, b))))","For all w, not (U of u and V of u and b)."
"Exists(c, S(z))",There exists an c such that S of z.
"ForAll(x, ~((f(y) == u) & (S(b, c))))","For all x, not (f(y) equals u and S of b and c)."
"U(a, y, u)",U of a and y and u.
"Exists(u, Implies(Implies(k(c) == w, f(z, u) == x), Equivalent(S(y), k(c, y) == v)))","There exists an u such that If If k(c) equals w, then f(z, u) equals x, then S of y if and only if k(c, y) equals v."
"ForAll(a, ~((Equivalent(g(y) == b, k(w, x) == w)) | ((f(x) == z) | (k(a) == y))))","For all a, not (g(y) equals b if and only if k(w, x) equals w or f(x) equals z or k(a) equals y)."
